timestamp,run_tag,run_idx,data_id,data_src,file_path,label_path,model_type,model_id,feature_mode,bypass_encoder,residualize_flag,probe_degree_flag,n_hidden,n_layers,n_dgi_epochs,n_classifier_epochs,feat_mean,feat_std,spearman_deg_label,probe_R2_logdeg,probe_acc_deg_quartile,acc_Z,acc_Z_perp,acc_drop,baseline_deg_bin
2025-09-21 17:27:12,normal,36,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8098332337972723,0.9924867749214172,1.0,0.575,,,0.625
2025-09-21 17:27:47,normal,37,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.759028261934379,0.991202175617218,1.0,0.5125,,,0.5125
2025-09-21 17:28:24,normal,38,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7771091489225741,0.9931631088256836,1.0,0.55,,,0.5125
2025-09-21 17:28:55,normal,39,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.816065638765374,0.9921156167984009,1.0,0.6125,,,0.5875
2025-09-21 17:29:30,normal,40,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7752749313162511,0.9931839108467102,1.0,0.6125,,,0.5375
2025-09-21 17:29:59,normal,41,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7727255372502636,0.9904837608337402,1.0,0.5375,,,0.5375
2025-09-21 17:34:20,normal,42,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7729508778196774,0.9918222427368164,1.0,0.5125,,,0.5125
2025-09-21 17:37:53,normal,43,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7381749861203937,0.993780255317688,1.0,0.6,,,0.475
2025-09-21 17:41:31,normal,44,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.744295618664891,0.9918097853660583,0.9974937438964844,0.525,,,0.4625
2025-09-21 17:45:53,normal,45,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7950493575557751,0.9882200956344604,1.0,0.6125,,,0.5625
2025-09-21 17:49:54,normal,46,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7845556933950226,0.9935076236724854,1.0,0.625,,,0.5625
2025-09-21 17:53:29,normal,47,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.8164904400758977,0.9934823513031006,1.0,0.6125,,,0.575
2025-09-21 17:56:50,normal,48,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7764624215846594,0.9945132732391357,1.0,0.5375,,,0.4875
2025-09-21 17:59:34,normal,49,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.743617970384164,0.9942881464958191,1.0,0.55,,,0.4875
2025-09-21 18:00:41,normal,50,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7822677953168953,0.9906805157661438,1.0,0.6375,,,0.5125
2025-09-21 18:02:56,normal,51,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.7709677936253008,0.9927126169204712,1.0,0.575,,,0.5375
2025-09-21 18:08:33,normal,52,europe,europe,data/europe-airports.edgelist,data/labels-europe-airports.txt,2,2,degree,False,False,True,32,1,100,100,0.03125,0.17399944365024567,-0.757521112428688,0.9917339086532593,1.0,0.6,,,0.5
